I,Q
-0.708689,0.711124
0.716804,0.687019
-0.709273,0.721112
-0.672409,-0.70105
0.685449,0.714736
-0.686684,-0.681516
-0.754183,-0.670126
-0.712283,0.671083
0.702823,-0.709882
-0.717735,0.69945
0.705284,0.69256
-0.693105,-0.664875
-0.685879,-0.755034
0.73887,-0.720091
0.71655,0.707587
0.717717,-0.722344
-0.666654,0.681364
0.722067,0.689822
-0.711979,-0.673344
-0.664707,-0.729253
-0.725473,-0.710925
-0.693619,-0.717111
-0.72434,0.713889
-0.738782,-0.67877
-0.701628,-0.698276
0.688524,0.71733
0.754884,0.690683
-0.693523,-0.760161
0.707776,0.719594
-0.687653,0.732153
0.653577,-0.693241
0.707323,-0.676912
0.706555,-0.709499
0.711138,-0.664094
-0.708396,-0.734595
0.733968,0.719142
0.71946,-0.686923
0.726607,0.677967
-0.695235,0.709947
-0.722307,0.684665
-0.731319,-0.6896
-0.732312,-0.716688
-0.716515,0.696074
-0.753192,-0.680804
-0.67432,-0.777154
-0.731493,-0.66991
0.67871,0.720491
0.71721,-0.749149
0.756053,-0.66741
-0.68218,0.683713
0.709123,0.698903
-0.699264,0.737318
0.704012,-0.712685
0.700451,0.690939
-0.720463,0.699729
-0.70143,0.700008
-0.686724,0.715782
-0.714211,0.732592
0.711045,-0.700517
-0.714554,0.709063
0.728588,-0.705066
-0.690818,0.67657
-0.701574,0.694972
-0.731018,-0.729026
0.702248,0.723315
0.702126,-0.710568
-0.694347,0.704909
-0.725827,-0.716859
0.681627,0.701308
0.685896,0.708244
-0.704021,-0.696629
-0.709943,0.681122
-0.748543,-0.677167
-0.692383,-0.699018
0.726644,0.698087
0.728905,-0.70203
-0.70493,-0.673727
-0.698695,-0.715581
-0.730748,-0.697785
-0.675815,0.693383
0.677276,0.735488
-0.679232,0.716146
0.749258,-0.697178
-0.695624,0.684582
0.65512,-0.695893
0.724945,-0.702282
0.698225,0.717774
-0.712785,0.680903
0.72556,0.678033
0.664717,-0.705686
-0.703203,0.683161
0.718068,-0.700806
-0.69139,-0.676961
-0.711514,0.705664
0.720714,-0.75288
-0.689071,0.72289
-0.714381,0.68054
-0.708297,-0.742202
-0.71854,-0.673157
0.710135,0.737857
-0.74897,0.712853
-0.69008,-0.727251
-0.702812,0.712028
-0.691431,-0.703426
0.679063,-0.697286
-0.703994,0.69421
0.71466,0.696457
-0.731101,-0.664288
0.684813,0.683672
-0.676762,0.703342
-0.683255,0.702113
0.73733,-0.716401
0.702469,-0.699782
-0.688962,-0.723279
0.713757,0.72033
-0.643115,-0.714985
-0.699518,0.714295
0.691649,-0.700079
-0.726913,-0.697204
0.688053,0.702513
0.708345,0.721008
0.733101,0.693097
0.705256,0.711917
0.715654,-0.724418
0.676343,0.724347
0.73358,-0.720702
-0.649796,0.714673
0.696751,-0.719923
0.708824,0.726474
-0.686276,0.691646
0.699179,-0.69718
0.734295,0.710189
0.733195,-0.679351
-0.715646,0.705275
-0.68318,-0.721465
-0.716453,-0.736587
-0.729479,-0.691905
0.76215,-0.699979
0.735688,0.645102
-0.701749,-0.735102
0.740938,0.708375
-0.727962,-0.718871
-0.719508,0.69879
-0.720068,-0.714968
-0.750957,-0.692454
0.728592,-0.725246
0.69448,0.727262
0.704647,-0.73498
0.749433,0.693462
0.738328,-0.721086
0.669237,0.726184
0.692633,0.682713
-0.711355,0.680016
-0.682861,0.72078
0.730916,-0.714581
-0.711842,-0.736408
0.712402,-0.741293
0.710366,-0.678139
0.709343,0.729677
-0.683752,-0.685947
-0.665604,0.704344
0.669802,0.71691
-0.67544,0.702126
-0.669498,0.717927
-0.71,-0.719647
0.741376,-0.661574
0.746471,0.708662
0.692561,0.718998
0.706702,-0.732745
-0.683666,-0.730636
0.71514,-0.739468
0.718855,0.673043
-0.729677,-0.713636
-0.69746,0.671996
0.757502,0.73932
0.71916,0.663104
0.741268,-0.689851
-0.740179,-0.686404
-0.756411,0.688601
-0.706837,0.701317
0.758445,-0.669076
-0.731184,-0.670497
0.694891,0.690164
-0.72454,0.672877
-0.713197,-0.684624
0.729047,0.706835
0.709566,-0.711942
0.703074,-0.70713
0.680569,-0.71972
0.70576,0.686975
-0.723982,-0.727431
-0.741796,-0.704776
-0.750335,0.696238
-0.681349,-0.684186
-0.685567,-0.727069
-0.724927,-0.714795
-0.715812,0.696491
-0.68745,0.699647
-0.715156,-0.691349
0.727378,0.686555
-0.681858,-0.686296
-0.696769,-0.69064
0.690383,0.731733
0.733588,-0.692283
0.716904,0.695344
0.722673,-0.683006
0.662948,-0.7255
-0.703268,-0.734021
-0.72189,-0.691075
0.701244,-0.732163
-0.701113,0.68574
-0.714625,0.679001
-0.713577,-0.714592
-0.696377,0.727423
0.689867,0.724694
0.720226,0.691451
0.731025,0.693561
-0.739292,0.682559
0.72068,0.653773
-0.687641,0.715028
-0.720277,0.674361
0.737633,-0.713778
-0.713108,-0.714615
0.66983,0.707972
-0.646929,-0.684777
-0.718074,-0.677125
0.711622,-0.692173
0.722232,0.653701
0.744071,-0.679168
0.685187,-0.7035
0.733166,-0.686625
-0.683404,0.720982
-0.698796,-0.670437
-0.705777,0.6974
-0.695737,0.703331
-0.730916,0.736896
0.736017,0.734397
0.699084,-0.719794
-0.762761,0.719034
0.706055,-0.689493
-0.658639,0.673559
-0.681432,0.725246
0.709654,-0.697632
-0.667249,-0.716748
0.676125,-0.720345
0.717565,-0.69002
0.703658,0.734745
0.723539,-0.731636
0.696214,-0.698975
0.721789,-0.715503
0.695897,-0.722064
0.706165,0.706014
0.685491,0.693098
0.697784,0.722731
0.74633,0.702776
-0.708464,0.697781
-0.701955,0.714654
-0.689881,-0.71638
0.70295,0.684436
0.725423,0.667505
-0.720583,-0.710788
0.723958,-0.696564
0.696295,0.72493
-0.699773,-0.685456
0.739188,-0.714806
-0.670311,0.72995
0.665546,-0.675141
0.692536,-0.711245
-0.688651,-0.712078
0.743003,-0.717074
0.690291,-0.734103
0.731329,-0.701214
-0.714575,-0.721583
-0.700101,-0.706147
-0.712076,0.663259
0.692758,0.732712
-0.708744,-0.694869
-0.719468,-0.674152
0.709023,0.700597
-0.704996,-0.70038
0.715841,-0.687318
0.692945,0.701784
0.689947,0.725338
-0.693425,0.683709
0.699982,-0.753644
0.687102,-0.708472
-0.700638,0.733038
0.709882,-0.702246
0.733737,-0.654807
0.742964,0.710394
-0.709671,0.699985
-0.710056,0.687557
0.65728,-0.716297
0.728626,-0.675217
0.714231,0.66869
0.689183,-0.684421
0.732561,-0.720557
0.695717,-0.694334
-0.713829,0.70488
0.70929,0.73366
-0.750731,-0.67282
-0.707007,0.737518
0.732279,-0.692641
0.716223,-0.686028
0.697769,0.688949
0.698488,-0.674939
0.738145,0.681401
-0.726992,0.70043
0.699073,0.694879
-0.679832,0.70251
-0.718158,0.702685
-0.717134,0.695984
0.659936,-0.733878
-0.70891,0.670822
-0.685665,0.694499
0.682611,0.721556
-0.741157,-0.68048
-0.650087,-0.711635
0.711359,0.658751
0.736094,0.725389
0.709382,0.747595
-0.734656,0.730712
0.692728,0.726152
-0.720879,0.681723
-0.716706,0.703806
-0.680122,0.740563
-0.697242,0.70217
-0.717833,0.743439
0.735431,-0.67812
-0.728862,-0.725759
-0.706473,0.72703
-0.716646,-0.710688
0.700234,-0.699199
-0.677394,0.712237
0.72155,-0.680484
0.722787,-0.696424
0.708358,0.734737
-0.746812,-0.681007
0.710081,-0.729166
-0.718563,0.686289
0.733407,-0.695418
-0.704012,-0.696772
0.686936,-0.701965
-0.691787,-0.717897
-0.716769,-0.691342
-0.731994,0.727519
-0.717322,-0.699508
0.705155,-0.751091
-0.695711,-0.709027
-0.714172,-0.717537
-0.716774,0.736469
0.707553,-0.658073
0.660009,-0.743116
-0.717173,0.722281
0.698415,0.768075
0.693944,0.677803
-0.667006,-0.714117
