I,Q
-0.627443,-0.557956
-0.95592,0.477297
-0.498388,0.859949
0.823946,-0.741855
0.602291,-0.701607
-0.535818,0.478746
0.791461,0.444124
-0.872025,0.355326
0.561397,-0.369469
0.584675,0.624706
-0.57964,0.632442
-0.763691,0.926596
-0.709853,-0.679039
0.525568,-0.863006
-0.608593,-0.750562
0.875338,0.83219
0.350847,0.963618
0.674541,0.518425
0.731773,-0.572298
0.391892,-0.777863
-0.763613,0.350627
0.523167,-0.736963
0.551459,0.836977
-0.837922,0.544316
-0.488364,0.840148
-0.59288,-0.633108
-0.886694,-0.683312
0.854559,-0.704947
0.727507,0.650096
-0.614256,-0.508719
0.621442,-0.742909
-0.629484,-0.812144
0.786634,0.717477
0.558759,-0.763875
0.677139,-0.852568
-0.581439,-1.029175
0.894192,-0.530703
0.682351,0.802874
-0.838362,-0.699556
0.712645,0.577446
-0.659358,0.682962
0.737338,0.682848
-0.706485,0.859848
-0.596775,0.813599
0.493284,0.756084
-0.789542,0.932018
-0.851928,0.567994
-0.64503,-0.699178
0.761156,-0.860705
-1.011139,-0.551009
0.710181,-0.595697
0.593656,0.592027
-0.598368,0.693456
-0.522272,-0.764771
0.846924,-0.803092
0.566824,-0.764507
0.871652,-0.687137
-0.894625,1.029913
0.740437,-0.463056
-0.715514,-0.923955
-0.67333,-0.589874
-0.568743,0.728726
-0.991524,-0.698873
0.65654,1.008571
-0.585027,-0.541659
-0.666159,0.623444
-0.688656,-0.762679
-0.900626,-0.704397
0.875333,0.570118
-0.713817,0.881092
-0.654475,0.442696
-0.609109,-0.713425
-0.500545,0.561609
-0.887663,-0.716545
0.54932,0.906679
-0.500431,0.947266
0.801543,-0.568173
0.801833,-0.351697
0.666217,-0.673579
-0.775087,-0.527061
0.53798,0.518933
0.662984,0.888891
0.537374,-0.883965
0.518543,0.938202
0.619691,0.558756
0.728882,0.894089
-1.059543,-0.784926
0.605108,-0.984876
-0.826111,-0.869562
-0.779245,0.549067
0.721693,-0.782673
0.805022,0.612747
0.704516,-0.763531
0.629693,-0.423831
-0.667531,-0.55897
0.500103,0.659438
0.682181,0.596209
-0.703887,-0.900151
0.50542,0.636707
-0.73009,0.548345
-0.39347,0.803409
0.372864,0.812343
-0.297628,0.691019
-0.406741,-0.664549
-0.532442,-0.714187
0.615414,-0.852609
0.923135,-0.594051
0.571873,-0.784787
-0.381347,-0.70769
0.543326,-0.963307
-0.80436,-0.552814
0.501165,0.872422
-0.692426,-0.621387
-0.671015,1.159191
0.845877,-0.576065
1.024416,-0.399716
0.812672,-1.079075
0.605294,-0.709774
-0.616961,0.54572
0.634922,-0.825421
0.626862,0.595601
0.482973,-0.722846
0.680748,-0.19454
0.928906,0.635296
-0.664113,-0.647422
0.681786,-0.629439
-0.633755,0.682232
0.766214,0.853457
0.647401,0.647568
-0.625272,0.706637
0.810028,0.315996
0.654123,0.895264
-0.59324,0.722419
-0.650602,0.528146
0.556164,-0.875591
-0.326928,-0.715084
0.796449,-0.796949
-0.82363,0.440567
0.843182,-0.695358
-0.583564,0.768533
0.564502,-0.987255
-0.568397,-0.930371
-0.640875,0.725677
0.840062,-0.702408
-0.794583,-0.690701
0.561947,-0.953042
0.555497,0.71113
0.709917,-0.657239
0.636975,-0.755821
-1.122294,0.504461
0.57494,-0.781841
-0.741622,0.892929
-0.616587,0.615391
-0.80702,-0.641092
-0.61994,0.925162
-0.447057,-0.620774
-0.61153,-1.133562
0.664156,-0.77277
-0.721156,0.605565
-0.548353,-0.668623
0.607344,0.695009
0.947249,0.803125
0.611523,0.718628
-0.941357,-0.832144
-0.828851,-0.491736
-0.74439,0.504819
0.562958,-0.838052
0.856405,-0.701956
0.651495,-0.676193
0.865863,0.579205
0.879132,-0.546557
0.667347,0.686678
-0.878962,-0.697794
-0.842861,0.776365
-0.607826,-0.571381
-0.79601,-0.48587
-0.847901,0.73715
0.645678,0.671759
0.483352,0.714679
-0.611862,-0.793631
-0.646641,0.775432
0.767495,-0.637047
-0.823052,0.578246
-0.236435,0.291251
0.624452,0.90518
0.73775,0.476266
0.681224,0.760945
0.892813,0.716247
