I,Q
-0.454849,-0.972054
-0.292577,-0.463991
-0.842174,0.722069
-0.67539,0.804112
0.67879,-1.017743
-0.69086,-0.481247
-0.723283,-0.766207
-0.773223,0.747568
0.63005,-0.73471
-0.768542,0.720479
0.915361,0.703118
0.664628,0.655684
0.798224,-0.855872
0.767449,0.986738
0.875274,-0.50997
0.667882,-0.978488
0.834285,-0.855814
-0.743268,0.699177
-0.603145,0.601636
0.863105,-0.740699
-0.601861,-0.707537
1.066456,0.709165
0.636084,0.841459
-0.499815,0.539091
-0.849235,0.665532
1.011332,0.522603
-0.61264,-0.561689
-0.546425,-0.714768
0.624367,0.99091
0.627339,-0.959956
0.956599,-0.715661
0.991464,0.874985
0.666843,-0.82823
-0.585653,0.709317
-0.952236,0.768786
-0.705999,-0.764879
-1.037498,0.729465
-0.700618,-0.782404
0.767716,0.634574
0.783419,-0.721601
-0.525435,0.872746
-0.851859,0.761099
0.40176,-0.558102
-0.526182,0.63896
0.75668,0.751623
-0.679074,-0.780428
-0.657456,0.944722
-0.730596,-1.021165
-0.748602,0.591927
-0.966297,0.740119
0.700487,0.622155
-0.829457,-0.672328
0.610297,-0.947959
0.643005,-0.648558
0.64158,0.748808
-0.43299,-0.939942
-0.810606,0.678007
-0.675,0.850834
0.703826,0.622723
0.72258,0.626681
-0.79248,0.827785
0.616747,-0.864516
-0.842776,-0.76413
0.657421,-0.861064
-0.8071,0.121666
-0.875876,-0.654646
-0.957338,0.489977
-0.842998,-0.540518
-0.629076,-0.764719
-0.515218,0.992041
0.730447,-0.671656
-0.503943,-0.915346
0.770733,-0.738481
-0.495495,0.916042
-0.737919,0.644748
0.48524,-0.68633
-0.651958,-0.325914
0.495534,0.827727
0.565664,0.754244
0.483558,0.819093
-0.537076,-0.730799
0.574534,0.627835
0.599777,-0.812383
-0.415145,0.674146
-0.629837,0.689417
0.793213,0.827835
0.805924,-0.44703
0.836787,-1.07306
-0.7488,0.568771
-0.530706,-0.573767
0.464476,-0.60116
0.872604,0.773384
0.826122,0.772486
0.811697,-0.762731
-0.5537,0.73023
0.800711,0.951985
-0.802119,0.703117
0.939151,0.571343
0.925682,-0.871768
-0.868936,0.576555
-0.578896,-0.759408
-0.799945,-0.681544
-0.541509,0.828249
-0.592857,-0.807151
-0.785464,0.733586
0.811922,-0.684938
-0.701657,-0.925941
0.780604,-1.115626
-0.786428,-0.464977
0.546525,0.505692
-0.637116,0.62647
0.894511,0.958581
0.637989,-0.545187
-0.391978,-0.661796
-0.61571,0.749304
-0.622468,0.699547
0.794814,0.59805
-0.712249,0.646981
-0.468125,-0.491108
0.763794,-0.698099
-1.231681,1.024633
-0.491267,-0.818339
-0.65146,0.741843
-0.810101,0.561358
0.961175,0.734828
0.434329,-0.849548
-0.800009,0.809922
0.782794,-0.505333
0.662953,-0.84882
0.794176,-0.444444
-0.747438,0.678292
-0.898187,-0.672832
-0.575409,-0.718529
-0.683773,-0.797892
0.71546,-0.745568
0.855084,0.321987
-0.774425,-0.798601
-0.750422,-0.393198
0.808734,0.614915
-0.485236,-0.826375
-0.796062,0.880692
0.751803,-0.66704
-0.816132,-0.802676
-0.8502,-0.845827
-0.454951,0.697971
0.851275,-0.704703
-0.693572,0.782505
0.760909,-0.652457
-0.612837,0.618443
-0.843609,0.542998
0.560501,0.70132
0.713518,-0.713991
0.703215,-0.701029
-0.527498,0.687974
-0.829582,-0.884874
-0.731019,0.71402
-0.84014,0.550033
-0.499882,-0.487979
0.680968,-0.862279
0.807603,0.26101
0.615429,-0.62467
0.759596,-0.873646
0.69867,-0.535204
0.843317,-0.79564
-0.614248,-0.836149
0.825871,-0.499463
0.714108,0.769502
0.874463,0.608806
0.682722,0.980239
0.704651,-0.63213
0.846882,0.768804
0.451613,0.669259
-0.65867,0.689455
0.665197,-0.962961
0.963177,0.606771
0.524083,0.66142
0.932102,0.743035
0.665722,0.844041
0.659369,-0.738501
0.597741,-0.802685
-0.627595,0.526155
0.713633,-0.513907
0.677035,0.727357
-0.436529,-0.786886
-0.702907,0.691827
0.736368,-0.812589
-0.789123,-0.428887
1.011775,0.561302
0.623814,0.661803
-0.566909,-0.821126
0.736771,-1.012404
0.67284,-0.564407
0.796927,-0.663151
-0.678373,-0.869483
0.575605,-0.514267
-0.893525,0.931638
0.966821,0.670767
0.808975,0.568214
-0.341142,-0.799998
0.900471,-0.613973
0.906511,0.490077
-1.026525,0.70343
0.439942,-0.64628
-0.590895,0.813815
-0.436681,0.220585
-0.434706,-1.039365
0.549837,-0.959526
0.582271,0.712971
-0.51533,0.718439
-0.783225,-1.035919
0.770237,0.471405
-0.471468,-0.848836
-0.714101,-0.650889
-0.948086,-1.106079
0.790586,-0.938992
0.590174,-0.673137
-0.502885,0.578827
0.548781,0.608546
0.687237,-0.689004
0.614874,0.813839
-0.817735,0.778384
-0.820032,0.746655
-0.86575,-0.185137
-0.869135,0.854381
-0.797252,-0.787492
-0.568647,-0.611669
-0.691191,0.648786
-0.712669,-0.851077
0.648445,0.327768
0.818619,0.792368
-0.791534,0.817203
-0.685883,1.011893
-0.540234,-1.086297
0.567296,0.727386
0.736245,-0.808565
0.881599,0.823386
0.628433,-0.620335
0.581202,-0.960773
0.572924,0.93373
0.726292,-0.578654
1.006222,0.675419
0.462893,-0.568498
0.938164,-0.451468
-0.572196,0.822957
0.54673,0.699923
0.615098,0.490397
-0.721125,-0.757475
0.885914,0.615041
