I,Q
-0.607882,-0.57082
-0.523461,-0.741855
-0.616532,0.93967
0.569999,-0.865327
0.402365,1.004413
-0.276779,0.9403
-0.374848,-0.896163
-0.685368,0.766324
-0.626556,-0.952062
0.81838,0.562537
-0.67028,0.511942
-0.443466,0.352064
-0.752335,-0.634934
0.481549,0.39731
-0.616469,-0.585257
0.552329,0.513945
0.288742,-0.761206
-0.615487,-0.679583
0.554157,0.773404
0.523862,-0.700343
-0.918351,-0.900449
0.787921,-0.623917
-0.795732,0.526685
-0.909718,0.94808
-0.705917,0.660174
0.62625,-0.676711
0.285474,-0.57442
0.597374,-0.891794
0.967428,0.599705
-0.421043,-0.956571
0.506962,0.560002
-0.808039,0.705014
-0.717341,0.386384
-0.685909,0.615478
0.71988,0.86008
0.60349,-0.713783
-0.478879,0.898825
0.403408,0.844663
1.007728,0.783818
1.004958,0.64814
-0.51382,0.378952
-0.719741,-1.108988
0.301951,-0.896844
0.676152,-0.762633
-0.70194,-0.773731
-0.660543,0.548242
-1.211234,0.505381
-0.908813,0.397877
0.558433,-0.812285
0.632209,-1.070103
-1.078671,-0.629224
0.502662,-0.43507
0.69058,-0.475332
-0.713842,-0.978748
-0.848085,0.899625
0.693051,0.744837
0.592644,-0.490274
-0.860569,-0.761774
-0.464306,0.894128
-0.374587,0.700416
-0.49041,-1.01514
0.624487,-0.379764
-0.49498,-0.401908
-0.58834,0.956211
0.260952,0.94967
-0.578185,-0.951768
-0.615093,0.61237
-0.55335,-0.310643
0.703884,-0.918895
-0.79148,-0.516395
-0.283026,0.879707
0.637748,0.924926
0.715147,-0.76362
-0.85397,1.007397
0.663868,0.550385
-0.791189,-0.474352
0.625465,0.736358
0.990755,-0.277551
-0.633503,-0.800834
-0.7847,0.251591
0.770871,0.440385
0.609161,-0.814349
-0.576929,-0.772991
-0.590309,-0.92577
0.97453,0.612767
0.74798,-0.634887
-0.74776,-0.283068
-1.037273,0.595834
0.7357,0.655471
-0.624985,-0.623927
-0.702318,0.759713
-0.782571,-0.529849
0.871647,-0.534065
-0.882209,0.761416
0.783878,0.893363
0.429513,-0.745848
-0.655017,-0.927191
-0.654035,0.465212
0.738858,0.654762
0.675711,0.429751
-0.511594,0.674305
0.742158,0.747147
0.702986,0.662367
1.016345,-0.694297
0.630526,0.606623
0.63167,-0.79572
-0.523864,0.704175
-0.863224,0.548333
0.78777,-1.01862
0.673919,0.399626
-0.488645,0.773666
-0.882667,0.730753
0.667552,0.709994
0.534336,0.815422
-1.014678,-0.731831
0.801868,-0.617153
-0.971509,0.638192
0.718223,0.545309
0.809829,-0.617717
-0.879775,-0.400716
-0.938213,0.459746
-0.709882,-0.905889
0.940564,-0.94428
1.073934,-0.757199
-0.579572,0.796118
-0.728364,-0.716831
-0.748207,-0.805
0.314099,-0.698916
-0.7004,0.601581
0.732216,-0.516735
0.733797,0.628554
-0.759887,-0.303046
0.761736,-0.860981
-0.937664,-0.567564
-0.381132,-0.496963
0.199568,1.032289
0.743544,0.502715
-0.35702,-0.897493
-0.861189,-0.592927
0.608228,-0.680031
0.624411,-0.813584
0.738387,1.01869
-0.533613,0.425393
0.506185,0.580353
0.729921,-0.710791
-0.488472,0.689514
-0.989612,-0.433135
-0.696699,1.002734
-0.794118,-0.623136
0.512474,0.92618
0.47486,0.909381
-0.49979,-0.851416
-0.651655,-0.525563
0.590143,-0.699318
-0.689827,0.675757
0.725144,1.021901
-0.741674,0.610769
0.709929,0.528026
-0.451798,0.816865
0.419734,0.958326
-0.851866,1.073098
-0.838732,0.567149
0.854807,0.962411
-0.652873,-0.828362
-0.878832,-0.612208
0.895943,0.48378
-0.559671,-0.676494
-1.087491,0.687483
0.669251,-0.834519
0.503081,-0.999774
0.902552,-0.141858
0.547442,0.628375
0.699238,0.575884
0.469674,-0.88689
-0.854665,0.679125
-0.810199,-0.75713
-0.62552,-0.522813
0.774931,-0.965796
-0.418812,-0.708519
-0.612417,-0.621391
-0.530019,0.609655
0.618377,0.512996
-0.667991,-0.93389
0.863994,0.845979
0.866946,0.836738
-0.599581,-0.712477
0.395097,-0.456431
-0.933495,-0.336574
-0.384086,-0.869825
-0.632082,-0.618698
0.838465,-1.13044
-0.161631,-0.429788
0.994324,-1.104031
0.764459,-0.522096
-0.609208,0.80141
0.683438,-0.865457
-0.501026,-1.160508
-0.812509,0.757906
-0.522965,1.025296
0.775975,0.772884
-0.722438,-0.51561
0.77251,0.37869
0.582817,0.519644
-0.40097,-0.690461
0.437325,1.061842
-0.647918,-0.120933
-0.7261,-1.154841
0.964725,-0.99449
0.506517,1.368922
0.724277,-1.040139
0.52727,-1.037351
0.844722,0.492258
0.611234,1.15612
-0.354583,-0.89317
-1.049237,-0.51669
0.989528,-0.928342
-0.660475,0.506315
-0.332085,-0.702286
-0.376174,0.412444
-0.844373,-0.595715
0.814836,-0.926455
-0.670906,0.766128
-0.80229,-0.749038
-0.899375,-0.679208
-0.672626,0.585601
-0.522048,-0.54515
-0.835572,-0.608728
-0.741463,0.763037
-0.798613,-0.999679
-0.742439,-1.025499
-0.773414,0.538044
0.400648,-0.313965
-0.554559,-0.637264
0.599882,0.59961
-0.453473,0.917487
-0.420457,0.66496
0.655353,0.764002
0.802064,-0.554586
0.026943,0.563483
-0.384684,0.593866
0.831522,0.65353
-1.012668,-0.734983
0.811221,-0.747351
0.977924,-0.429929
1.034894,0.656823
-0.7997,1.080103
0.986534,0.889333
-0.78499,0.557789
0.651964,0.653695
-0.56065,-0.516281
0.758984,0.757327
-0.866055,0.534242
0.413435,-0.619627
0.562213,-0.33276
-0.828942,0.696084
-0.826762,-0.659902
0.915618,0.678717
-0.878433,-0.464682
0.6805,-0.635834
-0.812856,-0.749497
0.982768,-0.703671
0.626498,1.121282
-0.739348,0.857591
0.999405,-0.80394
-0.66916,0.40815
1.066761,0.032457
0.438377,0.716881
-0.757445,1.029327
-0.445219,0.738318
-0.900083,0.171557
0.584374,-0.56377
0.064518,0.811568
0.991976,0.353771
-0.606887,-0.433276
-0.367625,0.918436
